Wavelength (AA)	Flux (erg s-1 cm-2 A-1)
7060.060060060061	1.476800307515499e-16
7068.068068068069	1.5140445737109593e-16
7076.076076076077	1.4892524678731382e-16
7084.084084084085	1.4931234208201374e-16
7092.092092092093	1.5338340566128612e-16
7100.1001001001005	1.498761327134353e-16
7108.108108108108	1.5034562598543705e-16
7116.116116116116	1.522423465092461e-16
7124.124124124124	1.4637025725261098e-16
7132.132132132133	1.4646434024453958e-16
7140.140140140141	1.5439281212866583e-16
7148.148148148149	1.547599703226333e-16
7156.156156156157	1.5477544781383015e-16
7164.1641641641645	1.5143947857557868e-16
7172.172172172172	1.51986412936742e-16
7180.18018018018	1.5296231287339518e-16
7188.188188188188	1.5140846152429087e-16
7196.196196196197	1.523755904553537e-16
7204.204204204205	1.533150822070615e-16
7212.212212212213	1.528611083700067e-16
7220.220220220221	1.561336582501517e-16
7228.2282282282285	1.5151270542549222e-16
7236.236236236236	1.5404501080592007e-16
7244.244244244244	1.5317706918348204e-16
7252.252252252252	1.5469387770225213e-16
7260.260260260261	1.5360326380605308e-16
7268.268268268269	1.5161966893729574e-16
7276.276276276277	1.4281599633809047e-16
7284.284284284285	1.4386767439311405e-16
7292.292292292293	1.5286323731176745e-16
7300.3003003003005	1.5223711851948827e-16
7308.308308308308	1.5284955070979487e-16
7316.316316316316	1.533333165394756e-16
7324.324324324325	1.5382954018943088e-16
7332.332332332333	1.5216858022223743e-16
7340.340340340341	1.4804789674497597e-16
7348.348348348349	1.393402921893099e-16
7356.356356356357	1.340813242458874e-16
7364.3643643643645	1.4385269288516328e-16
7372.372372372372	1.4820881944601963e-16
7380.380380380381	1.5060529236867646e-16
7388.388388388389	1.47288285393749e-16
7396.396396396397	1.4949711101241976e-16
7404.404404404405	1.4889043124857683e-16
7412.412412412413	1.5100706079327017e-16
7420.420420420421	1.5141466513073738e-16
7428.428428428429	1.4835132993691042e-16
7436.436436436436	1.4710576586703942e-16
7444.444444444445	1.4755110145482717e-16
7452.452452452453	1.4908214131494698e-16
7460.460460460461	1.4843821062173957e-16
7468.468468468469	1.4543972934452468e-16
7476.476476476477	1.4815046996282356e-16
7484.484484484485	1.4636214893439851e-16
7492.492492492493	1.4908544005983363e-16
7500.5005005005005	1.4825193883657737e-16
7508.508508508509	1.468576093281987e-16
7516.516516516517	1.4643280550842212e-16
7524.524524524525	1.4285375100471153e-16
7532.532532532533	1.4527231754725205e-16
7540.540540540541	1.4727388178399845e-16
7548.548548548549	1.4641284694523988e-16
7556.556556556557	1.4478884883615576e-16
7564.5645645645645	1.4405792960145884e-16
7572.572572572573	1.4709463155255214e-16
7580.580580580581	1.4671310262407952e-16
7588.588588588589	1.4603818541249811e-16
7596.596596596597	1.4769517989232228e-16
7604.604604604605	1.4510423930580049e-16
7612.612612612613	1.4624144930239777e-16
7620.620620620621	1.468456580770893e-16
7628.6286286286295	1.4680122544725846e-16
7636.636636636637	1.4653757207108494e-16
